Sequence_ID	Header	Length	Sequence_Type
g16688.t2	g16688.t2	345	PROTEIN
g16689.t1	g16689.t1	494	PROTEIN
g16690.t1	g16690.t1	530	PROTEIN
g16691.t1	g16691.t1	1932	PROTEIN
g16692.t1	g16692.t1	722	PROTEIN
g16693.t1	g16693.t1	109	PROTEIN
g16694.t1	g16694.t1	186	PROTEIN
g16695.t1	g16695.t1	510	PROTEIN
g16696.t1	g16696.t1	194	PROTEIN
g16697.t1	g16697.t1	206	PROTEIN
g16698.t1	g16698.t1	153	PROTEIN
g16699.t1	g16699.t1	648	PROTEIN
g16700.t1	g16700.t1	155	PROTEIN
g16701.t1	g16701.t1	157	PROTEIN
g16702.t1	g16702.t1	122	PROTEIN
g16703.t1	g16703.t1	144	PROTEIN
g16704.t1	g16704.t1	364	PROTEIN
g16705.t1	g16705.t1	290	PROTEIN
g16706.t1	g16706.t1	1127	PROTEIN
g16707.t1	g16707.t1	512	PROTEIN
g16708.t1	g16708.t1	729	PROTEIN
g16709.t3	g16709.t3	983	PROTEIN
g16710.t1	g16710.t1	152	PROTEIN
g16711.t1	g16711.t1	412	PROTEIN
g16712.t1	g16712.t1	540	PROTEIN
g16713.t1	g16713.t1	495	PROTEIN
g16714.t1	g16714.t1	120	PROTEIN
g16715.t1	g16715.t1	515	PROTEIN
g16716.t1	g16716.t1	590	PROTEIN
g16717.t1	g16717.t1	461	PROTEIN
g16718.t1	g16718.t1	499	PROTEIN
g16719.t1	g16719.t1	564	PROTEIN
g16720.t1	g16720.t1	107	PROTEIN
g16721.t1	g16721.t1	158	PROTEIN
g16722.t1	g16722.t1	619	PROTEIN
g16723.t1	g16723.t1	83	PROTEIN
g16724.t1	g16724.t1	169	PROTEIN
g16725.t3	g16725.t3	437	PROTEIN
g16726.t1	g16726.t1	754	PROTEIN
g16727.t1	g16727.t1	166	PROTEIN
g16728.t1	g16728.t1	1199	PROTEIN
g16729.t1	g16729.t1	218	PROTEIN
g16730.t1	g16730.t1	312	PROTEIN
g16731.t1	g16731.t1	44	PROTEIN
g16732.t1	g16732.t1	126	PROTEIN
g16733.t1	g16733.t1	75	PROTEIN
g16734.t1	g16734.t1	396	PROTEIN
g16735.t1	g16735.t1	177	PROTEIN
g16736.t1	g16736.t1	670	PROTEIN
g16737.t1	g16737.t1	1095	PROTEIN
g16738.t1	g16738.t1	283	PROTEIN
g16739.t1	g16739.t1	153	PROTEIN
g16740.t1	g16740.t1	235	PROTEIN
g16741.t1	g16741.t1	182	PROTEIN
g16742.t1	g16742.t1	255	PROTEIN
g16743.t1	g16743.t1	224	PROTEIN
g16744.t1	g16744.t1	318	PROTEIN
g16745.t1	g16745.t1	81	PROTEIN
g16746.t1	g16746.t1	399	PROTEIN
g16747.t1	g16747.t1	668	PROTEIN
g16748.t1	g16748.t1	248	PROTEIN
g16749.t1	g16749.t1	129	PROTEIN
g16750.t1	g16750.t1	538	PROTEIN
g16751.t1	g16751.t1	198	PROTEIN
g16752.t1	g16752.t1	380	PROTEIN
g16753.t1	g16753.t1	447	PROTEIN
g16754.t1	g16754.t1	539	PROTEIN
g16755.t1	g16755.t1	258	PROTEIN
g16756.t1	g16756.t1	72	PROTEIN
g16757.t1	g16757.t1	346	PROTEIN
g16758.t2	g16758.t2	119	PROTEIN
g16759.t1	g16759.t1	537	PROTEIN
g16760.t1	g16760.t1	95	PROTEIN
g16761.t1	g16761.t1	94	PROTEIN
g16762.t1	g16762.t1	84	PROTEIN
g16763.t1	g16763.t1	150	PROTEIN
g16764.t1	g16764.t1	93	PROTEIN
g16765.t1	g16765.t1	137	PROTEIN
g16766.t1	g16766.t1	109	PROTEIN
g16767.t1	g16767.t1	77	PROTEIN
g16768.t1	g16768.t1	150	PROTEIN
g16769.t1	g16769.t1	95	PROTEIN
g16770.t1	g16770.t1	297	PROTEIN
g16771.t1	g16771.t1	99	PROTEIN
g16772.t1	g16772.t1	74	PROTEIN
g16773.t1	g16773.t1	172	PROTEIN
g16774.t1	g16774.t1	78	PROTEIN
g16775.t1	g16775.t1	95	PROTEIN
g16776.t1	g16776.t1	86	PROTEIN
g16777.t1	g16777.t1	84	PROTEIN
g16778.t1	g16778.t1	72	PROTEIN
g16779.t1	g16779.t1	185	PROTEIN
g16780.t1	g16780.t1	196	PROTEIN
g16781.t1	g16781.t1	112	PROTEIN
g16782.t1	g16782.t1	304	PROTEIN
g16783.t1	g16783.t1	97	PROTEIN
g16784.t1	g16784.t1	976	PROTEIN
g16785.t1	g16785.t1	133	PROTEIN
g16786.t1	g16786.t1	213	PROTEIN
g16787.t2	g16787.t2	435	PROTEIN
g16788.t1	g16788.t1	131	PROTEIN
g16789.t3	g16789.t3	603	PROTEIN
g16790.t1	g16790.t1	572	PROTEIN
g16791.t1	g16791.t1	164	PROTEIN
g16792.t1	g16792.t1	162	PROTEIN
g16793.t1	g16793.t1	543	PROTEIN
g16794.t1	g16794.t1	544	PROTEIN
g16795.t1	g16795.t1	290	PROTEIN
g16796.t1	g16796.t1	470	PROTEIN
g16797.t1	g16797.t1	425	PROTEIN
g16798.t1	g16798.t1	260	PROTEIN
g16799.t1	g16799.t1	44	PROTEIN
g16800.t1	g16800.t1	467	PROTEIN
g16801.t1	g16801.t1	350	PROTEIN
g16802.t1	g16802.t1	391	PROTEIN
g16803.t1	g16803.t1	120	PROTEIN
g16804.t2	g16804.t2	162	PROTEIN
g16805.t1	g16805.t1	87	PROTEIN
g16806.t1	g16806.t1	384	PROTEIN
g16807.t1	g16807.t1	1427	PROTEIN
g16808.t1	g16808.t1	605	PROTEIN
g16809.t1	g16809.t1	265	PROTEIN
g16810.t1	g16810.t1	249	PROTEIN
g16811.t1	g16811.t1	234	PROTEIN
g16812.t1	g16812.t1	626	PROTEIN
g16813.t1	g16813.t1	187	PROTEIN
g16814.t1	g16814.t1	1155	PROTEIN
g16815.t1	g16815.t1	982	PROTEIN
g16816.t1	g16816.t1	124	PROTEIN
g16817.t1	g16817.t1	76	PROTEIN
g16818.t1	g16818.t1	88	PROTEIN
g16819.t1	g16819.t1	143	PROTEIN
g16820.t1	g16820.t1	144	PROTEIN
g16821.t1	g16821.t1	278	PROTEIN
g16822.t1	g16822.t1	108	PROTEIN
g16823.t1	g16823.t1	200	PROTEIN
g16824.t1	g16824.t1	234	PROTEIN
g16825.t1	g16825.t1	482	PROTEIN
g16826.t1	g16826.t1	145	PROTEIN
g16827.t1	g16827.t1	572	PROTEIN
g16828.t1	g16828.t1	233	PROTEIN
g16829.t1	g16829.t1	303	PROTEIN
g16830.t1	g16830.t1	487	PROTEIN
g16831.t1	g16831.t1	530	PROTEIN
g16832.t1	g16832.t1	531	PROTEIN
g16833.t1	g16833.t1	946	PROTEIN
g16834.t1	g16834.t1	195	PROTEIN
g16835.t1	g16835.t1	427	PROTEIN
g16836.t1	g16836.t1	351	PROTEIN
g16837.t1	g16837.t1	359	PROTEIN
g16838.t1	g16838.t1	271	PROTEIN
g16839.t1	g16839.t1	380	PROTEIN
g16840.t1	g16840.t1	563	PROTEIN
g16841.t1	g16841.t1	265	PROTEIN
g16842.t1	g16842.t1	118	PROTEIN
g16843.t1	g16843.t1	392	PROTEIN
g16844.t1	g16844.t1	439	PROTEIN
g16845.t1	g16845.t1	34	PROTEIN
g16846.t1	g16846.t1	464	PROTEIN
g16847.t1	g16847.t1	516	PROTEIN
g16848.t1	g16848.t1	167	PROTEIN
g16849.t1	g16849.t1	226	PROTEIN
g16850.t1	g16850.t1	111	PROTEIN
g16851.t1	g16851.t1	552	PROTEIN
g16852.t1	g16852.t1	553	PROTEIN
g16853.t1	g16853.t1	530	PROTEIN
g16854.t1	g16854.t1	531	PROTEIN
g16855.t1	g16855.t1	105	PROTEIN
g16856.t1	g16856.t1	187	PROTEIN
g16857.t1	g16857.t1	97	PROTEIN
g16858.t1	g16858.t1	124	PROTEIN
g16859.t1	g16859.t1	112	PROTEIN
g16860.t1	g16860.t1	530	PROTEIN
g16861.t1	g16861.t1	291	PROTEIN
g16862.t1	g16862.t1	123	PROTEIN
g16863.t1	g16863.t1	1239	PROTEIN
g16864.t1	g16864.t1	124	PROTEIN
g16865.t1	g16865.t1	100	PROTEIN
g16866.t1	g16866.t1	1589	PROTEIN
g16867.t1	g16867.t1	242	PROTEIN
g16868.t1	g16868.t1	433	PROTEIN
g16869.t1	g16869.t1	111	PROTEIN
g16870.t1	g16870.t1	1773	PROTEIN
g16871.t1	g16871.t1	247	PROTEIN
g16872.t1	g16872.t1	174	PROTEIN
g16873.t1	g16873.t1	81	PROTEIN
g16874.t1	g16874.t1	70	PROTEIN
g16875.t1	g16875.t1	63	PROTEIN
g16876.t1	g16876.t1	218	PROTEIN
g16877.t1	g16877.t1	118	PROTEIN
g16878.t1	g16878.t1	76	PROTEIN
g16879.t1	g16879.t1	367	PROTEIN
g16880.t1	g16880.t1	264	PROTEIN
g16881.t1	g16881.t1	764	PROTEIN
g16882.t2	g16882.t2	241	PROTEIN
g16883.t1	g16883.t1	341	PROTEIN
g16884.t1	g16884.t1	103	PROTEIN
g16885.t1	g16885.t1	519	PROTEIN
g16886.t1	g16886.t1	113	PROTEIN
g16887.t1	g16887.t1	525	PROTEIN
g16888.t1	g16888.t1	161	PROTEIN
g16889.t2	g16889.t2	683	PROTEIN
g16890.t1	g16890.t1	163	PROTEIN
g16891.t1	g16891.t1	240	PROTEIN
g16892.t1	g16892.t1	73	PROTEIN
g16893.t1	g16893.t1	391	PROTEIN
g16894.t1	g16894.t1	259	PROTEIN
g16895.t1	g16895.t1	726	PROTEIN
g16896.t1	g16896.t1	253	PROTEIN
g16897.t1	g16897.t1	266	PROTEIN
g16898.t1	g16898.t1	53	PROTEIN
g16899.t1	g16899.t1	83	PROTEIN
g16900.t1	g16900.t1	126	PROTEIN
g16901.t1	g16901.t1	208	PROTEIN
g16902.t1	g16902.t1	135	PROTEIN
g16903.t1	g16903.t1	108	PROTEIN
g16904.t1	g16904.t1	78	PROTEIN
g16905.t1	g16905.t1	108	PROTEIN
g16906.t1	g16906.t1	76	PROTEIN
g16907.t1	g16907.t1	99	PROTEIN
g16908.t1	g16908.t1	84	PROTEIN
g16909.t1	g16909.t1	497	PROTEIN
g16910.t1	g16910.t1	1199	PROTEIN
g16911.t1	g16911.t1	184	PROTEIN
g16912.t1	g16912.t1	117	PROTEIN
g16913.t1	g16913.t1	649	PROTEIN
g16914.t1	g16914.t1	73	PROTEIN
g16915.t1	g16915.t1	300	PROTEIN
g16916.t1	g16916.t1	477	PROTEIN
g16917.t1	g16917.t1	143	PROTEIN
g16918.t1	g16918.t1	61	PROTEIN
g16919.t1	g16919.t1	80	PROTEIN
g16920.t1	g16920.t1	72	PROTEIN
g16921.t1	g16921.t1	526	PROTEIN
g16922.t1	g16922.t1	61	PROTEIN
g16923.t1	g16923.t1	96	PROTEIN
g16924.t1	g16924.t1	237	PROTEIN
g16925.t1	g16925.t1	107	PROTEIN
g16926.t1	g16926.t1	372	PROTEIN
g16927.t1	g16927.t1	372	PROTEIN
g16928.t1	g16928.t1	141	PROTEIN
g16929.t1	g16929.t1	659	PROTEIN
g16930.t1	g16930.t1	422	PROTEIN
g16931.t1	g16931.t1	508	PROTEIN
g16932.t1	g16932.t1	508	PROTEIN
g16933.t1	g16933.t1	1107	PROTEIN
g16934.t1	g16934.t1	603	PROTEIN
g16935.t1	g16935.t1	76	PROTEIN
g16936.t1	g16936.t1	73	PROTEIN
g16937.t1	g16937.t1	121	PROTEIN
g16938.t1	g16938.t1	70	PROTEIN
g16939.t1	g16939.t1	147	PROTEIN
g16940.t1	g16940.t1	129	PROTEIN
g16941.t1	g16941.t1	185	PROTEIN
g16942.t1	g16942.t1	345	PROTEIN
g16943.t1	g16943.t1	144	PROTEIN
g16944.t1	g16944.t1	386	PROTEIN
g16945.t2	g16945.t2	265	PROTEIN
g16946.t1	g16946.t1	574	PROTEIN
g16947.t1	g16947.t1	368	PROTEIN
g16948.t1	g16948.t1	105	PROTEIN
g16949.t1	g16949.t1	216	PROTEIN
g16950.t1	g16950.t1	87	PROTEIN
g16951.t1	g16951.t1	79	PROTEIN
g16952.t1	g16952.t1	106	PROTEIN
g16953.t1	g16953.t1	129	PROTEIN
g16954.t1	g16954.t1	304	PROTEIN
g16955.t1	g16955.t1	73	PROTEIN
g16956.t1	g16956.t1	130	PROTEIN
g16957.t1	g16957.t1	124	PROTEIN
g16958.t1	g16958.t1	1118	PROTEIN
g16959.t3	g16959.t3	1042	PROTEIN
g16960.t1	g16960.t1	284	PROTEIN
g16961.t1	g16961.t1	1107	PROTEIN
g16962.t1	g16962.t1	914	PROTEIN
g16963.t1	g16963.t1	1260	PROTEIN
g16964.t1	g16964.t1	715	PROTEIN
g16965.t1	g16965.t1	94	PROTEIN
g16966.t1	g16966.t1	179	PROTEIN
g16967.t1	g16967.t1	288	PROTEIN
g16968.t1	g16968.t1	75	PROTEIN
g16969.t1	g16969.t1	240	PROTEIN
g16970.t1	g16970.t1	503	PROTEIN
g16971.t1	g16971.t1	125	PROTEIN
g16972.t1	g16972.t1	835	PROTEIN
g16973.t1	g16973.t1	629	PROTEIN
g16974.t1	g16974.t1	549	PROTEIN
g16975.t1	g16975.t1	107	PROTEIN
g16976.t1	g16976.t1	1043	PROTEIN
g16977.t1	g16977.t1	89	PROTEIN
g16978.t1	g16978.t1	280	PROTEIN
g16979.t1	g16979.t1	473	PROTEIN
g16980.t1	g16980.t1	101	PROTEIN
g16981.t1	g16981.t1	132	PROTEIN
g16982.t1	g16982.t1	933	PROTEIN
g16983.t1	g16983.t1	214	PROTEIN
g16984.t1	g16984.t1	320	PROTEIN
g16985.t1	g16985.t1	214	PROTEIN
g16986.t1	g16986.t1	71	PROTEIN
g16987.t1	g16987.t1	144	PROTEIN
g16988.t1	g16988.t1	563	PROTEIN
g16989.t1	g16989.t1	349	PROTEIN
g16990.t1	g16990.t1	157	PROTEIN
g16991.t1	g16991.t1	166	PROTEIN
g16992.t1	g16992.t1	490	PROTEIN
g16993.t1	g16993.t1	535	PROTEIN
g16994.t1	g16994.t1	101	PROTEIN
g16995.t1	g16995.t1	462	PROTEIN
g16996.t1	g16996.t1	1357	PROTEIN
g16997.t1	g16997.t1	168	PROTEIN
g16998.t1	g16998.t1	675	PROTEIN
g16999.t1	g16999.t1	165	PROTEIN
g17000.t1	g17000.t1	70	PROTEIN
g17001.t1	g17001.t1	261	PROTEIN
g17002.t1	g17002.t1	385	PROTEIN
g17003.t1	g17003.t1	100	PROTEIN
g17004.t1	g17004.t1	373	PROTEIN
g17005.t1	g17005.t1	154	PROTEIN
g17006.t1	g17006.t1	47	PROTEIN
g17007.t1	g17007.t1	244	PROTEIN
g17008.t1	g17008.t1	118	PROTEIN
g17009.t1	g17009.t1	68	PROTEIN
g17010.t1	g17010.t1	89	PROTEIN
g17011.t1	g17011.t1	142	PROTEIN
g17012.t1	g17012.t1	275	PROTEIN
g17013.t1	g17013.t1	168	PROTEIN
g17014.t1	g17014.t1	123	PROTEIN
g17015.t1	g17015.t1	1696	PROTEIN
g17016.t1	g17016.t1	99	PROTEIN
g17017.t1	g17017.t1	110	PROTEIN
g17018.t1	g17018.t1	97	PROTEIN
g17019.t1	g17019.t1	90	PROTEIN
g17020.t1	g17020.t1	77	PROTEIN
g17021.t1	g17021.t1	89	PROTEIN
g17022.t1	g17022.t1	1176	PROTEIN
g17023.t1	g17023.t1	82	PROTEIN
g17024.t1	g17024.t1	190	PROTEIN
g17025.t1	g17025.t1	107	PROTEIN
g17026.t1	g17026.t1	196	PROTEIN
g17027.t1	g17027.t1	131	PROTEIN
g17028.t1	g17028.t1	251	PROTEIN
g17029.t1	g17029.t1	128	PROTEIN
g17030.t1	g17030.t1	712	PROTEIN
g17031.t1	g17031.t1	281	PROTEIN
g17032.t1	g17032.t1	521	PROTEIN
g17033.t1	g17033.t1	291	PROTEIN
g17034.t1	g17034.t1	622	PROTEIN
g17035.t1	g17035.t1	225	PROTEIN
g17036.t1	g17036.t1	218	PROTEIN
g17037.t1	g17037.t1	312	PROTEIN
g17038.t1	g17038.t1	322	PROTEIN
g17039.t1	g17039.t1	335	PROTEIN
g17040.t1	g17040.t1	403	PROTEIN
g17041.t1	g17041.t1	464	PROTEIN
g17042.t1	g17042.t1	574	PROTEIN
g17043.t1	g17043.t1	167	PROTEIN
g17044.t1	g17044.t1	146	PROTEIN
g17045.t1	g17045.t1	218	PROTEIN
g17046.t1	g17046.t1	164	PROTEIN
g17047.t1	g17047.t1	139	PROTEIN
g17048.t1	g17048.t1	116	PROTEIN
g17049.t1	g17049.t1	82	PROTEIN
g17050.t1	g17050.t1	108	PROTEIN
g17051.t1	g17051.t1	125	PROTEIN
g17052.t1	g17052.t1	178	PROTEIN
g17053.t1	g17053.t1	174	PROTEIN
g17054.t1	g17054.t1	87	PROTEIN
g17055.t1	g17055.t1	87	PROTEIN
g17056.t1	g17056.t1	85	PROTEIN
g17057.t1	g17057.t1	105	PROTEIN
g17058.t1	g17058.t1	113	PROTEIN
g17059.t1	g17059.t1	145	PROTEIN
g17060.t1	g17060.t1	321	PROTEIN
g17061.t1	g17061.t1	385	PROTEIN
g17062.t1	g17062.t1	339	PROTEIN
g17063.t1	g17063.t1	156	PROTEIN
g17064.t1	g17064.t1	120	PROTEIN
g17065.t1	g17065.t1	29	PROTEIN
g17066.t1	g17066.t1	125	PROTEIN
g17067.t1	g17067.t1	95	PROTEIN
g17068.t1	g17068.t1	217	PROTEIN
g17069.t1	g17069.t1	507	PROTEIN
g17070.t1	g17070.t1	738	PROTEIN
g17071.t1	g17071.t1	126	PROTEIN
g17072.t1	g17072.t1	66	PROTEIN
g17073.t1	g17073.t1	740	PROTEIN
g17074.t1	g17074.t1	119	PROTEIN
g17075.t1	g17075.t1	720	PROTEIN
g17076.t1	g17076.t1	108	PROTEIN
g17077.t1	g17077.t1	225	PROTEIN
g17078.t1	g17078.t1	79	PROTEIN
g17079.t1	g17079.t1	93	PROTEIN
g17080.t1	g17080.t1	296	PROTEIN
g17081.t1	g17081.t1	159	PROTEIN
g17082.t1	g17082.t1	178	PROTEIN
g17083.t1	g17083.t1	292	PROTEIN
g17084.t1	g17084.t1	106	PROTEIN
g17085.t1	g17085.t1	474	PROTEIN
g17086.t1	g17086.t1	130	PROTEIN
g17087.t1	g17087.t1	118	PROTEIN
g17088.t1	g17088.t1	93	PROTEIN
g17089.t1	g17089.t1	276	PROTEIN
g17090.t1	g17090.t1	173	PROTEIN
g17091.t1	g17091.t1	115	PROTEIN
g17092.t1	g17092.t1	93	PROTEIN
g17093.t1	g17093.t1	442	PROTEIN
g17094.t1	g17094.t1	466	PROTEIN
g17095.t1	g17095.t1	208	PROTEIN
g17096.t1	g17096.t1	174	PROTEIN
g17097.t1	g17097.t1	418	PROTEIN
g17098.t1	g17098.t1	421	PROTEIN
g17099.t1	g17099.t1	109	PROTEIN
g17100.t1	g17100.t1	69	PROTEIN
g17101.t1	g17101.t1	563	PROTEIN
g17102.t1	g17102.t1	226	PROTEIN
g17103.t1	g17103.t1	230	PROTEIN
g17104.t1	g17104.t1	147	PROTEIN
g17105.t1	g17105.t1	426	PROTEIN
g17106.t1	g17106.t1	234	PROTEIN
g17107.t1	g17107.t1	109	PROTEIN
g17108.t1	g17108.t1	83	PROTEIN
g17109.t1	g17109.t1	352	PROTEIN
g17110.t1	g17110.t1	199	PROTEIN
g17111.t1	g17111.t1	298	PROTEIN
g17112.t1	g17112.t1	113	PROTEIN
g17113.t1	g17113.t1	84	PROTEIN
g17114.t2	g17114.t2	156	PROTEIN
g17115.t1	g17115.t1	119	PROTEIN
g17116.t1	g17116.t1	420	PROTEIN
g17117.t1	g17117.t1	579	PROTEIN
g17118.t1	g17118.t1	69	PROTEIN
g17119.t1	g17119.t1	659	PROTEIN
g17120.t1	g17120.t1	152	PROTEIN
g17121.t1	g17121.t1	364	PROTEIN
g17122.t1	g17122.t1	156	PROTEIN
g17123.t1	g17123.t1	138	PROTEIN
g17124.t1	g17124.t1	145	PROTEIN
g17125.t1	g17125.t1	590	PROTEIN
g17126.t1	g17126.t1	451	PROTEIN
g17127.t1	g17127.t1	278	PROTEIN
g17128.t1	g17128.t1	555	PROTEIN
g17129.t1	g17129.t1	1644	PROTEIN
g17130.t1	g17130.t1	367	PROTEIN
g17131.t1	g17131.t1	75	PROTEIN
g17132.t1	g17132.t1	173	PROTEIN
g17133.t1	g17133.t1	797	PROTEIN
g17134.t1	g17134.t1	860	PROTEIN
g17135.t1	g17135.t1	915	PROTEIN
g17136.t1	g17136.t1	313	PROTEIN
g17137.t1	g17137.t1	363	PROTEIN
g17138.t1	g17138.t1	247	PROTEIN
g17139.t1	g17139.t1	585	PROTEIN
g17140.t1	g17140.t1	1683	PROTEIN
g17141.t1	g17141.t1	902	PROTEIN
g17142.t1	g17142.t1	413	PROTEIN
g17143.t1	g17143.t1	373	PROTEIN
g17144.t1	g17144.t1	73	PROTEIN
g17145.t1	g17145.t1	119	PROTEIN
g17146.t1	g17146.t1	268	PROTEIN
g17147.t1	g17147.t1	257	PROTEIN
g17148.t1	g17148.t1	195	PROTEIN
g17149.t1	g17149.t1	492	PROTEIN
g17150.t1	g17150.t1	436	PROTEIN
g17151.t1	g17151.t1	292	PROTEIN
g17152.t1	g17152.t1	226	PROTEIN
g17153.t1	g17153.t1	276	PROTEIN
g17154.t1	g17154.t1	243	PROTEIN
g17155.t1	g17155.t1	161	PROTEIN
g17156.t1	g17156.t1	125	PROTEIN
g17157.t1	g17157.t1	108	PROTEIN
g17158.t1	g17158.t1	117	PROTEIN
g17159.t1	g17159.t1	88	PROTEIN
g17160.t1	g17160.t1	71	PROTEIN
g17161.t1	g17161.t1	199	PROTEIN
g17162.t1	g17162.t1	130	PROTEIN
g17163.t1	g17163.t1	84	PROTEIN
g17164.t1	g17164.t1	74	PROTEIN
g17165.t1	g17165.t1	595	PROTEIN
g17166.t1	g17166.t1	712	PROTEIN
g17167.t1	g17167.t1	324	PROTEIN
g17168.t1	g17168.t1	97	PROTEIN
g17169.t1	g17169.t1	427	PROTEIN
g17170.t1	g17170.t1	299	PROTEIN
g17171.t1	g17171.t1	148	PROTEIN
g17172.t1	g17172.t1	138	PROTEIN
g17173.t1	g17173.t1	169	PROTEIN
g17174.t1	g17174.t1	95	PROTEIN
g17175.t1	g17175.t1	154	PROTEIN
g17176.t1	g17176.t1	94	PROTEIN
g17177.t1	g17177.t1	180	PROTEIN
g17178.t1	g17178.t1	129	PROTEIN
g17179.t1	g17179.t1	125	PROTEIN
g17180.t1	g17180.t1	151	PROTEIN
g17181.t1	g17181.t1	477	PROTEIN
g17182.t1	g17182.t1	132	PROTEIN
g17183.t1	g17183.t1	402	PROTEIN
g17184.t1	g17184.t1	103	PROTEIN
g17185.t1	g17185.t1	450	PROTEIN
g17186.t1	g17186.t1	909	PROTEIN
g17187.t1	g17187.t1	1563	PROTEIN
g17188.t1	g17188.t1	341	PROTEIN
g17189.t1	g17189.t1	88	PROTEIN
g17190.t1	g17190.t1	151	PROTEIN
g17191.t1	g17191.t1	245	PROTEIN
g17192.t1	g17192.t1	957	PROTEIN
g17193.t1	g17193.t1	314	PROTEIN
g17194.t2	g17194.t2	1208	PROTEIN
g17195.t1	g17195.t1	617	PROTEIN
g17196.t1	g17196.t1	521	PROTEIN
g17197.t1	g17197.t1	299	PROTEIN
g17198.t1	g17198.t1	1713	PROTEIN
g17199.t1	g17199.t1	569	PROTEIN
g17200.t1	g17200.t1	103	PROTEIN
g17201.t1	g17201.t1	349	PROTEIN
g17202.t1	g17202.t1	1151	PROTEIN
g17203.t3	g17203.t3	258	PROTEIN
g17204.t1	g17204.t1	773	PROTEIN
g17205.t1	g17205.t1	635	PROTEIN
g17206.t1	g17206.t1	253	PROTEIN
g17207.t1	g17207.t1	579	PROTEIN
g17208.t1	g17208.t1	80	PROTEIN
g17209.t1	g17209.t1	115	PROTEIN
g17210.t1	g17210.t1	538	PROTEIN
g17211.t1	g17211.t1	569	PROTEIN
g17212.t1	g17212.t1	281	PROTEIN
g17213.t1	g17213.t1	345	PROTEIN
g17214.t1	g17214.t1	203	PROTEIN
g17215.t1	g17215.t1	435	PROTEIN
g17216.t1	g17216.t1	118	PROTEIN
g17217.t1	g17217.t1	639	PROTEIN
g17218.t1	g17218.t1	383	PROTEIN
g17219.t1	g17219.t1	520	PROTEIN
g17220.t1	g17220.t1	430	PROTEIN
g17221.t1	g17221.t1	473	PROTEIN
g17222.t1	g17222.t1	882	PROTEIN
g17223.t1	g17223.t1	199	PROTEIN
g17224.t1	g17224.t1	371	PROTEIN
g17225.t1	g17225.t1	683	PROTEIN
g17226.t1	g17226.t1	118	PROTEIN
g17227.t1	g17227.t1	746	PROTEIN
g17228.t1	g17228.t1	375	PROTEIN
g17229.t1	g17229.t1	98	PROTEIN
g17230.t1	g17230.t1	561	PROTEIN
g17231.t1	g17231.t1	115	PROTEIN
g17232.t1	g17232.t1	242	PROTEIN
g17233.t1	g17233.t1	669	PROTEIN
g17234.t1	g17234.t1	135	PROTEIN
g17235.t1	g17235.t1	356	PROTEIN
g17236.t1	g17236.t1	140	PROTEIN
g17237.t1	g17237.t1	375	PROTEIN
g17238.t1	g17238.t1	107	PROTEIN
g17239.t1	g17239.t1	129	PROTEIN
g17240.t1	g17240.t1	181	PROTEIN
g17241.t1	g17241.t1	69	PROTEIN
g17242.t1	g17242.t1	317	PROTEIN
g17243.t1	g17243.t1	455	PROTEIN
g17244.t1	g17244.t1	832	PROTEIN
g17245.t1	g17245.t1	291	PROTEIN
g17246.t1	g17246.t1	104	PROTEIN
g17247.t1	g17247.t1	102	PROTEIN
g17248.t1	g17248.t1	208	PROTEIN
g17249.t1	g17249.t1	100	PROTEIN
g17250.t1	g17250.t1	593	PROTEIN
g17251.t1	g17251.t1	87	PROTEIN
g17252.t1	g17252.t1	692	PROTEIN
g17253.t1	g17253.t1	107	PROTEIN
g17254.t1	g17254.t1	83	PROTEIN
g17255.t1	g17255.t1	108	PROTEIN
g17256.t1	g17256.t1	733	PROTEIN
g17257.t1	g17257.t1	200	PROTEIN
g17258.t1	g17258.t1	187	PROTEIN
g17259.t1	g17259.t1	1757	PROTEIN
g17260.t1	g17260.t1	91	PROTEIN
g17261.t1	g17261.t1	1022	PROTEIN
g17262.t1	g17262.t1	366	PROTEIN
g17263.t1	g17263.t1	142	PROTEIN
g17264.t1	g17264.t1	179	PROTEIN
g17265.t1	g17265.t1	181	PROTEIN
g17266.t1	g17266.t1	67	PROTEIN
g17267.t1	g17267.t1	142	PROTEIN
g17268.t1	g17268.t1	85	PROTEIN
g17269.t1	g17269.t1	423	PROTEIN
g17270.t1	g17270.t1	109	PROTEIN
g17271.t1	g17271.t1	146	PROTEIN
g17272.t1	g17272.t1	857	PROTEIN
g17273.t1	g17273.t1	539	PROTEIN
g17274.t4	g17274.t4	640	PROTEIN
g17275.t1	g17275.t1	274	PROTEIN
g17276.t1	g17276.t1	544	PROTEIN
g17277.t1	g17277.t1	177	PROTEIN
g17278.t1	g17278.t1	852	PROTEIN
g17279.t1	g17279.t1	77	PROTEIN
g17280.t1	g17280.t1	472	PROTEIN
g17281.t1	g17281.t1	96	PROTEIN
g17282.t1	g17282.t1	53	PROTEIN
g17283.t2	g17283.t2	592	PROTEIN
g17284.t1	g17284.t1	506	PROTEIN
g17285.t1	g17285.t1	307	PROTEIN
g17286.t1	g17286.t1	214	PROTEIN
g17287.t1	g17287.t1	520	PROTEIN
g17288.t1	g17288.t1	504	PROTEIN
g17289.t1	g17289.t1	332	PROTEIN
g17290.t1	g17290.t1	70	PROTEIN
g17291.t1	g17291.t1	236	PROTEIN
g17292.t1	g17292.t1	134	PROTEIN
g17293.t1	g17293.t1	68	PROTEIN
